time:1156440695, acc_x:-00133.30, acc_y:00309.57, acc_z:01009.28
time:1156448239, acc_x:-00054.69, acc_y:00169.43, acc_z:00867.19
time:1156455798, acc_x:00001.46, acc_y:00193.36, acc_z:00672.85
time:1156463257, acc_x:-00090.33, acc_y:00101.07, acc_z:00993.16
time:1156470811, acc_x:00117.68, acc_y:00302.73, acc_z:01037.11
time:1156478266, acc_x:00177.25, acc_y:00180.66, acc_z:00780.76
time:1156485721, acc_x:-00189.94, acc_y:00125.98, acc_z:00921.87
time:1156493258, acc_x:-00238.28, acc_y:00056.15, acc_z:01078.13
time:1156500814, acc_x:00013.18, acc_y:-00035.64, acc_z:01042.97
time:1156508360, acc_x:00003.91, acc_y:00030.27, acc_z:00906.25
time:1156515816, acc_x:-00115.23, acc_y:-00017.58, acc_z:01020.51
time:1156523446, acc_x:-00135.74, acc_y:-00022.46, acc_z:00985.35
time:1156531075, acc_x:-00084.96, acc_y:-00034.18, acc_z:01025.39
time:1156538702, acc_x:-00057.62, acc_y:00074.22, acc_z:01083.01
time:1156546249, acc_x:-00051.27, acc_y:00119.63, acc_z:01044.43
time:1156553799, acc_x:-00084.96, acc_y:00065.92, acc_z:00940.43
time:1156561346, acc_x:-00073.73, acc_y:00086.43, acc_z:01088.87
time:1156568894, acc_x:-00062.99, acc_y:00077.15, acc_z:00991.21
time:1156576440, acc_x:-00069.82, acc_y:00082.52, acc_z:01047.36
time:1156583983, acc_x:-00049.80, acc_y:00048.34, acc_z:01017.09
time:1156591533, acc_x:-00034.18, acc_y:00025.39, acc_z:00991.21
time:1156599078, acc_x:-00038.09, acc_y:00043.46, acc_z:01018.07
time:1156606627, acc_x:-00026.37, acc_y:00020.51, acc_z:01020.51
time:1156614166, acc_x:-00002.44, acc_y:00000.49, acc_z:01041.02
time:1156621715, acc_x:-00003.91, acc_y:-00001.95, acc_z:01020.51
time:1156629346, acc_x:-00007.32, acc_y:00003.91, acc_z:01013.67
time:1156636895, acc_x:-00015.63, acc_y:-00006.35, acc_z:01012.70
time:1156644529, acc_x:-00012.70, acc_y:-00006.84, acc_z:01016.60
time:1156652157, acc_x:-00016.60, acc_y:-00000.98, acc_z:01011.23
time:1156659781, acc_x:00000.00, acc_y:00009.28, acc_z:01012.21
time:1156667244, acc_x:-00018.55, acc_y:00017.58, acc_z:01030.76
time:1156674796, acc_x:-00024.90, acc_y:-00008.79, acc_z:01021.97
time:1156682432, acc_x:-00011.23, acc_y:00003.42, acc_z:01025.39
time:1156689979, acc_x:00001.46, acc_y:-00000.49, acc_z:01022.46
time:1156697526, acc_x:-00007.81, acc_y:00004.39, acc_z:01018.55
time:1156705055, acc_x:-00004.88, acc_y:00002.44, acc_z:01033.69
time:1156712598, acc_x:-00010.74, acc_y:-00011.23, acc_z:01016.60
time:1156720230, acc_x:-00004.88, acc_y:-00006.35, acc_z:01012.21
time:1156727863, acc_x:00011.23, acc_y:-00002.93, acc_z:01021.00
time:1156735401, acc_x:-00008.79, acc_y:-00000.98, acc_z:01025.88
time:1156743029, acc_x:-00016.11, acc_y:-00004.88, acc_z:01006.84
time:1156750664, acc_x:-00009.77, acc_y:00009.28, acc_z:01028.32
time:1156758205, acc_x:-00026.86, acc_y:00012.70, acc_z:01014.65
time:1156765755, acc_x:-00028.81, acc_y:00026.86, acc_z:01031.74
time:1156773296, acc_x:-00045.90, acc_y:00033.20, acc_z:01027.83
time:1156780843, acc_x:-00027.83, acc_y:00027.34, acc_z:01023.93
time:1156788390, acc_x:-00038.57, acc_y:00045.41, acc_z:01015.62
time:1156795937, acc_x:-00044.43, acc_y:00027.83, acc_z:01020.02
time:1156803483, acc_x:-00029.79, acc_y:00026.86, acc_z:01043.95
time:1156811033, acc_x:-00005.86, acc_y:00025.88, acc_z:01012.21
time:1156818584, acc_x:-00022.95, acc_y:00007.81, acc_z:00994.14
time:1156826125, acc_x:-00021.48, acc_y:00033.69, acc_z:01026.86
time:1156833675, acc_x:00019.04, acc_y:00000.49, acc_z:00991.21
time:1156841135, acc_x:-00013.67, acc_y:00001.46, acc_z:01006.84
time:1156848688, acc_x:-00039.06, acc_y:00003.91, acc_z:01044.92
time:1156856231, acc_x:-00038.57, acc_y:-00013.18, acc_z:01025.88
time:1156863864, acc_x:-00019.04, acc_y:00001.95, acc_z:01000.00
time:1156871395, acc_x:-00037.11, acc_y:00021.48, acc_z:01025.88
time:1156878941, acc_x:-00028.32, acc_y:00019.04, acc_z:01042.97
time:1156886490, acc_x:-00046.88, acc_y:00046.39, acc_z:00964.36
time:1156894037, acc_x:-00056.64, acc_y:00081.54, acc_z:01035.64
time:1156901580, acc_x:00037.11, acc_y:00180.66, acc_z:00879.39
time:1156909044, acc_x:-00127.93, acc_y:00134.77, acc_z:01112.79
time:1156916594, acc_x:-00057.62, acc_y:00125.00, acc_z:01025.39
time:1156924127, acc_x:-00048.34, acc_y:00118.65, acc_z:01048.34
time:1156931679, acc_x:-00061.52, acc_y:00068.85, acc_z:01065.92
time:1156939221, acc_x:-00069.82, acc_y:00074.71, acc_z:00951.66
time:1156946770, acc_x:-00138.18, acc_y:00149.90, acc_z:00895.51
time:1156954310, acc_x:-00151.37, acc_y:00131.35, acc_z:01121.58
