time:10341481, acc_x:-12.50, acc_y:25.87, acc_z:950.96, raw_acc_x:-115.72, raw_acc_y:270.51, raw_acc_z:1094.24
time:10353026, acc_x:-84.02, acc_y:65.52, acc_z:980.69, raw_acc_x:-370.12, raw_acc_y:224.12, raw_acc_z:1099.61
time:10364570, acc_x:13.25, acc_y:40.70, acc_z:942.85, raw_acc_x:402.34, raw_acc_y:-58.59, raw_acc_z:791.50
time:10375853, acc_x:47.61, acc_y:-1.23, acc_z:956.63, raw_acc_x:185.06, raw_acc_y:-168.95, raw_acc_z:1011.72
time:10387306, acc_x:28.62, acc_y:28.31, acc_z:961.30, raw_acc_x:-47.36, raw_acc_y:146.48, raw_acc_z:979.98
time:10398588, acc_x:-11.97, acc_y:34.56, acc_z:951.46, raw_acc_x:-174.32, raw_acc_y:59.57, raw_acc_z:912.11
time:10409959, acc_x:-7.13, acc_y:55.78, acc_z:1021.03, raw_acc_x:12.21, raw_acc_y:140.62, raw_acc_z:1299.32
time:10421322, acc_x:-45.94, acc_y:75.77, acc_z:952.57, raw_acc_x:-201.17, raw_acc_y:155.76, raw_acc_z:678.71
time:10432772, acc_x:-65.46, acc_y:26.34, acc_z:995.84, raw_acc_x:-143.55, raw_acc_y:-171.39, raw_acc_z:1168.95
time:10444392, acc_x:-83.23, acc_y:27.62, acc_z:1029.49, raw_acc_x:-154.30, raw_acc_y:32.71, raw_acc_z:1164.06
time:10455935, acc_x:-103.60, acc_y:8.91, acc_z:988.14, raw_acc_x:-185.06, raw_acc_y:-65.92, raw_acc_z:822.75
time:10467392, acc_x:-99.19, acc_y:4.49, acc_z:976.35, raw_acc_x:-81.54, raw_acc_y:-13.18, raw_acc_z:929.20
time:10478676, acc_x:-120.46, acc_y:9.55, acc_z:997.98, raw_acc_x:-205.57, raw_acc_y:29.79, raw_acc_z:1084.47
time:10490127, acc_x:-115.71, acc_y:-1.05, acc_z:935.78, raw_acc_x:-96.68, raw_acc_y:-43.46, raw_acc_z:687.01
time:10501583, acc_x:-146.86, acc_y:-26.43, acc_z:963.28, raw_acc_x:-271.48, raw_acc_y:-127.93, raw_acc_z:1073.24
time:10513387, acc_x:-87.41, acc_y:11.57, acc_z:969.74, raw_acc_x:150.39, raw_acc_y:163.57, raw_acc_z:995.61
time:10524758, acc_x:-84.38, acc_y:14.34, acc_z:967.20, raw_acc_x:-72.27, raw_acc_y:25.39, raw_acc_z:957.03
time:10536040, acc_x:-71.90, acc_y:-14.31, acc_z:944.17, raw_acc_x:-21.97, raw_acc_y:-128.91, raw_acc_z:852.05
time:10547585, acc_x:-30.57, acc_y:2.22, acc_z:933.85, raw_acc_x:134.77, raw_acc_y:68.36, raw_acc_z:892.58
time:10558781, acc_x:-49.26, acc_y:-2.52, acc_z:962.90, raw_acc_x:-124.02, raw_acc_y:-21.48, raw_acc_z:1079.10
time:10570312, acc_x:-92.92, acc_y:23.08, acc_z:971.20, raw_acc_x:-267.58, raw_acc_y:125.49, raw_acc_z:1004.39
time:10581855, acc_x:-120.82, acc_y:70.71, acc_z:1008.50, raw_acc_x:-232.42, raw_acc_y:261.23, raw_acc_z:1157.71
time:10593569, acc_x:-138.45, acc_y:133.72, acc_z:1033.95, raw_acc_x:-208.98, raw_acc_y:385.74, raw_acc_z:1135.74
time:10605372, acc_x:-126.88, acc_y:154.14, acc_z:1030.09, raw_acc_x:-80.57, raw_acc_y:235.84, raw_acc_z:1014.65
time:10617087, acc_x:-133.24, acc_y:129.95, acc_z:1040.97, raw_acc_x:-158.69, raw_acc_y:33.20, raw_acc_z:1084.47
time:10628807, acc_x:-93.12, acc_y:106.11, acc_z:1030.62, raw_acc_x:67.38, raw_acc_y:10.74, raw_acc_z:989.26
time:10640173, acc_x:-55.06, acc_y:51.49, acc_z:1029.68, raw_acc_x:97.17, raw_acc_y:-166.99, raw_acc_z:1025.88
time:10651710, acc_x:-30.38, acc_y:-37.62, acc_z:1007.33, raw_acc_x:68.36, raw_acc_y:-394.04, raw_acc_z:917.97
time:10663254, acc_x:16.42, acc_y:-80.87, acc_z:995.61, raw_acc_x:203.61, raw_acc_y:-253.91, raw_acc_z:948.73
time:10674706, acc_x:35.40, acc_y:-76.61, acc_z:1013.29, raw_acc_x:111.33, raw_acc_y:-59.57, raw_acc_z:1083.98
time:10686245, acc_x:53.62, acc_y:-72.91, acc_z:1023.13, raw_acc_x:126.46, raw_acc_y:-58.11, raw_acc_z:1062.50
time:10697793, acc_x:106.37, acc_y:-86.55, acc_z:985.69, raw_acc_x:317.38, raw_acc_y:-141.11, raw_acc_z:835.94
time:10709338, acc_x:44.57, acc_y:-110.06, acc_z:1007.79, raw_acc_x:-202.64, raw_acc_y:-204.10, raw_acc_z:1096.19
time:10721140, acc_x:31.55, acc_y:-75.65, acc_z:997.83, raw_acc_x:-20.51, raw_acc_y:62.01, raw_acc_z:958.01
time:10732418, acc_x:14.21, acc_y:-4.95, acc_z:1010.57, raw_acc_x:-55.18, raw_acc_y:277.83, raw_acc_z:1061.52
time:10743873, acc_x:-57.38, acc_y:2.87, acc_z:1006.11, raw_acc_x:-343.75, raw_acc_y:34.18, raw_acc_z:988.28
time:10755241, acc_x:-68.76, acc_y:28.67, acc_z:1004.79, raw_acc_x:-114.26, raw_acc_y:131.84, raw_acc_z:999.51
time:10766783, acc_x:-77.86, acc_y:49.30, acc_z:1009.11, raw_acc_x:-114.26, raw_acc_y:131.84, raw_acc_z:1026.37
time:10778404, acc_x:-72.25, acc_y:42.66, acc_z:1016.37, raw_acc_x:-49.80, raw_acc_y:16.11, raw_acc_z:1045.41
time:10789861, acc_x:-57.11, acc_y:31.49, acc_z:1014.46, raw_acc_x:3.42, raw_acc_y:-13.18, raw_acc_z:1006.84
time:10801231, acc_x:-65.32, acc_y:21.00, acc_z:1013.91, raw_acc_x:-98.14, raw_acc_y:-21.00, raw_acc_z:1011.72
time:10812775, acc_x:-87.90, acc_y:2.25, acc_z:1019.24, raw_acc_x:-178.22, raw_acc_y:-72.75, raw_acc_z:1040.53
time:10824314, acc_x:-100.79, acc_y:10.98, acc_z:1014.71, raw_acc_x:-152.34, raw_acc_y:45.90, raw_acc_z:996.58
time:10835857, acc_x:-105.44, acc_y:18.25, acc_z:1022.41, raw_acc_x:-124.02, raw_acc_y:47.36, raw_acc_z:1053.22
time:10847487, acc_x:-98.90, acc_y:19.19, acc_z:1021.64, raw_acc_x:-72.75, raw_acc_y:22.95, raw_acc_z:1018.55
time:10858939, acc_x:-97.67, acc_y:29.03, acc_z:1021.61, raw_acc_x:-92.77, raw_acc_y:68.36, raw_acc_z:1021.48
time:10870388, acc_x:-115.93, acc_y:12.87, acc_z:989.06, raw_acc_x:-188.96, raw_acc_y:-51.76, raw_acc_z:858.89
time:10881930, acc_x:-127.90, acc_y:-6.79, acc_z:1014.30, raw_acc_x:-175.78, raw_acc_y:-85.45, raw_acc_z:1115.23
time:10893647, acc_x:-98.71, acc_y:-26.53, acc_z:994.84, raw_acc_x:18.07, raw_acc_y:-105.47, raw_acc_z:916.99
time:10905099, acc_x:-99.57, acc_y:-8.43, acc_z:925.07, raw_acc_x:-103.03, raw_acc_y:63.96, raw_acc_z:646.00
time:10916466, acc_x:-91.08, acc_y:48.04, acc_z:1129.80, raw_acc_x:-57.13, raw_acc_y:273.93, raw_acc_z:1948.73
time:10928010, acc_x:-119.74, acc_y:11.67, acc_z:963.90, raw_acc_x:-234.37, raw_acc_y:-133.79, raw_acc_z:300.29
time:10939642, acc_x:-50.58, acc_y:36.49, acc_z:1171.11, raw_acc_x:226.07, raw_acc_y:135.74, raw_acc_z:1999.94
